miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)	mirbase_fam
MIRT437836	hsa-miR-506-3p	Homo sapiens	SNAI1	6615	Homo sapiens	Immunofluorescence//Immunohistochemistry//In situ hybridization//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	23410973	mir-506
MIRT438052	hsa-miR-510-5p	Homo sapiens	PRDX1	5052	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23971998	mir-510
MIRT438137	hsa-miR-766-3p	Homo sapiens	BAX	581	Homo sapiens	Flow//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	24356076	mir-766
MIRT438185	hsa-miR-888-5p	Homo sapiens	CDH1	999	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24480745	mir-888
MIRT438349	hsa-miR-506-3p	Homo sapiens	YAP1	10413	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25846731	mir-506
MIRT438349	hsa-miR-506-3p	Homo sapiens	YAP1	10413	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	26550114	mir-506
MIRT438396	hsa-miR-885-3p	Homo sapiens	CD274	29126	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	24577056	mir-885
MIRT438409	hsa-miR-197-3p	Homo sapiens	BMF	90427	Homo sapiens	Flow//Luciferase reporter assay//qRT-PCR	Functional MTI	24488097	mir-197
MIRT438410	hsa-miR-197-3p	Homo sapiens	PMAIP1	5366	Homo sapiens	Flow//Luciferase reporter assay//qRT-PCR	Functional MTI	24488097	mir-197
MIRT438502	hsa-miR-541-3p	Homo sapiens	ERBB2	2064	Homo sapiens	Luciferase reporter assay	Functional MTI	24148764	mir-541
MIRT438747	hsa-miR-197-3p	Homo sapiens	MTHFD1	4522	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24123340	mir-197
MIRT438878	hsa-miR-885-5p	Homo sapiens	CASP3	836	Homo sapiens	Luciferase reporter assay	Functional MTI	23271051	mir-885
MIRT731123	hsa-miR-197-3p	Homo sapiens	FOXJ2	55810	Homo sapiens	Luciferase reporter assay//qRT-PCR//Microarray//Western blot	Functional MTI	25451482	mir-197
MIRT731241	hsa-miR-506-3p	Homo sapiens	ETS1	2113	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot//Immunohistochemistry	Functional MTI	26362716	mir-506
MIRT731258	hsa-miR-506-3p	Homo sapiens	SPHK1	8877	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot//Luciferase reporter assay and western blot	Functional MTI	27065335	mir-506
MIRT731258	hsa-miR-506-3p	Homo sapiens	SPHK1	8877	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26549227	mir-506
MIRT731266	hsa-miR-489-3p	Homo sapiens	GSE1	23199	Homo sapiens	Luciferase reporter assay	Functional MTI	26828271	mir-489
MIRT731326	hsa-miR-508-5p	Homo sapiens	GPNMB	10457	Homo sapiens	Luciferase reporter assay	Functional MTI	27003587	mir-508
MIRT731608	hsa-miR-489-3p	Homo sapiens	SNAI2	6591	Homo sapiens	Luciferase reporter assay	Functional MTI	26918943	mir-489
MIRT731717	hsa-miR-506-3p	Homo sapiens	ROCK1	6093	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26474697	mir-506
MIRT731741	hsa-miR-197-3p	Homo sapiens	MAPK1	5594	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26151540	mir-197
MIRT731812	hsa-miR-769-5p	Homo sapiens	GSK3B	2932	Homo sapiens	Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27470346	mir-769
MIRT731950	hsa-miR-1908-5p	Homo sapiens	NKIRAS2	28511	Homo sapiens	Immunoprecipitaion//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	28039456	mir-1908
MIRT732252	hsa-miR-506-3p	Homo sapiens	TCF3	6929	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	27538704	mir-506
MIRT732331	hsa-miR-506-5p	Homo sapiens	MTDH	92140	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	27602115	mir-506
MIRT732391	hsa-miR-489-3p	Homo sapiens	PAX3	5077	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	27859625	mir-489
MIRT732433	hsa-miR-506-3p	Homo sapiens	GLI3	2737	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	24608427	mir-506
MIRT732590	hsa-miR-489-3p	Homo sapiens	SPIN1	10927	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//Western blot	Functional MTI	27171498	mir-489
MIRT732936	hsa-miR-506-3p	Homo sapiens	DNMT3B	1789	Homo sapiens	Mass spectrometry//Western blot	Functional MTI	26497367	mir-506
MIRT733334	hsa-miR-508-3p	Homo sapiens	PIKFYVE	200576	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26302821	mir-508
MIRT733414	hsa-miR-885-3p	Homo sapiens	BMPR1A	657	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	24882581	mir-885
MIRT733449	hsa-miR-892b	Homo sapiens	TRAF2	7186	Homo sapiens	Immunoprecipitaion//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26747895	mir-892b
MIRT733451	hsa-miR-892b	Homo sapiens	TAB3	257397	Homo sapiens	Immunoprecipitaion//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26747895	mir-892b
MIRT733454	hsa-miR-892b	Homo sapiens	MAP3K7	6885	Homo sapiens	Immunoprecipitaion//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26747895	mir-892b
MIRT733547	hsa-miR-489-3p	Homo sapiens	PROX1	5629	Homo sapiens	Immunohistochemistry//In situ hybridization//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27725907	mir-489
MIRT733636	hsa-miR-506-3p	Homo sapiens	WNK1	65125	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24469051	mir-506
MIRT733746	hsa-miR-1296-5p	Homo sapiens	ERBB2	2064	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	28099468	mir-1296
MIRT733787	hsa-miR-506-3p	Homo sapiens	IQGAP1	8826	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26398880	mir-506
MIRT734316	hsa-miR-506-5p	Homo sapiens	CTNNB1	1499	Homo sapiens	Western blot	Functional MTI	28217977	mir-506
