mirfam,expression
Eutherian,5.052474
Eutherian,1.437647
Eutherian,3.861405
Eutherian,2.201088
Eutherian,0.464858
Eutherian,0.546607
Eutherian,0.329782
Eutherian,0.404601
Eutherian,0.863241
Eutherian,0.724013
Eutherian,0.612997
Eutherian,0.703467
Eutherian,1.050178
Eutherian,1.212891
Eutherian,0.94714
Eutherian,1.134329
Eutherian,0.997813
Eutherian,1.437527
Eutherian,1.519601
Eutherian,1.459269
Eutherian,0.486268
Eutherian,0.734355
Eutherian,0.519273
Eutherian,1.13549
Eutherian,0.689799
Eutherian,0.896906
Eutherian,0.754978
Eutherian,0.574071
Eutherian,1.082486
Eutherian,1.080043
Eutherian,1.144033
Eutherian,1.183938
Eutherian,0.851574
Eutherian,1.038007
Eutherian,0.946049
Eutherian,1.066832
Eutherian,1.33894
Eutherian,1.286317
Eutherian,1.321349
Eutherian,1.221445
Eutherian,1.160972
Eutherian,0.975724
Eutherian,0.910499
Eutherian,0.994565
Eutherian,0.562973
Eutherian,0.924304
Eutherian,0.671059
Eutherian,0.663021
Eutherian,3.459654
Eutherian,1.154648
Eutherian,2.233375
Eutherian,0.925433
Eutherian,3.709301
Eutherian,3.120828
Eutherian,1.927024
Eutherian,1.771222
Eutherian,0.838948
Eutherian,0.791173
Eutherian,0.879047
Eutherian,0.703207
Eutherian,0.468092
Eutherian,0.66093
Eutherian,0.649294
Eutherian,0.68824
Eutherian,0.912551
Eutherian,1.200078
Eutherian,0.891456
Eutherian,1.575876
Eutherian,1.284852
Eutherian,1.298715
Eutherian,1.613016
Eutherian,1.539397
Eutherian,0.919871
Eutherian,0.663687
Eutherian,0.56025
Eutherian,0.588065
Eutherian,0.649829
Eutherian,0.742901
Eutherian,0.754073
Eutherian,0.570774
Eutherian,0.910051
Eutherian,0.505557
Eutherian,0.746808
Eutherian,0.517997
Eutherian,0.762261
Eutherian,0.785023
Eutherian,1.160514
Eutherian,1.254709
Eutherian,0.670998
Eutherian,0.711071
Eutherian,1.230864
Eutherian,0.929789
Eutherian,0.916648
Eutherian,1.146712
Eutherian,1.001836
Eutherian,0.935378
conserved,1.110402
conserved,1.221035
conserved,1.227451
conserved,1.391757
conserved,12.742202
conserved,13.082787
conserved,12.818404
conserved,12.830246
conserved,12.651546
conserved,12.927782
conserved,12.722506
conserved,12.68837
conserved,11.087757
conserved,11.949431
conserved,11.454876
conserved,11.590928
conserved,11.232529
conserved,11.845729
conserved,11.142081
conserved,11.959362
conserved,8.654339
conserved,8.266502
conserved,8.663011
conserved,9.02648
conserved,11.76205
conserved,12.029473
conserved,11.790303
conserved,12.152303
conserved,12.09272
conserved,11.227905
conserved,12.019663
conserved,11.887587
conserved,6.630442
conserved,7.911377
conserved,6.688567
conserved,6.152706
conserved,3.788647
conserved,5.994533
conserved,1.790435
conserved,4.01277
conserved,1.330224
conserved,0.815513
conserved,0.988128
conserved,0.987767
conserved,3.975071
conserved,7.119286
conserved,3.854302
conserved,5.020809
conserved,1.264649
conserved,1.532459
conserved,0.875132
conserved,1.092595
conserved,1.678209
conserved,1.00917
conserved,2.170141
conserved,0.838847
Eutherian,7.132688
