UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene stable ID
Q9HCE3	A0A024R283	ENSG00000074657
	K7EJM2	ENSG00000074657
	K7EKV7	ENSG00000074657
	K7EMF9	ENSG00000074657
	K7ER18	ENSG00000074657
	K7EP49	ENSG00000074657
	K7EL14	ENSG00000074657
	K7EQW7	ENSG00000074657
	K7EPI7	ENSG00000074657
	K7ELB7	ENSG00000074657
	K7ES47	ENSG00000074657
	K7ELQ2	ENSG00000074657
	K7EN67	ENSG00000074657
	K7EIU3	ENSG00000074657
	K7EQN0	ENSG00000074657
Q02446		ENSG00000105866
	C9JUS7	ENSG00000105866
	F8WB93	ENSG00000105866
	A0A3B3IRW4	ENSG00000105866
	I3L1Y7	ENSG00000141258
	V9GYJ0	ENSG00000141258
O43147		ENSG00000141258
O43147	B9A6J3	ENSG00000141258
	V9GYD2	ENSG00000141258
	I3L361	ENSG00000141258
	J3QSA2	ENSG00000141258
	I3NI18	ENSG00000141258
P16989	A0A024RAV4	ENSG00000060138
P16989	A0A024RAQ1	ENSG00000060138
	A0A0D9SEI8	ENSG00000060138
	D6R957	ENSG00000168152
	D6RCT5	ENSG00000168152
Q9H5L6		ENSG00000168152
	D6REM3	ENSG00000168152
	F2Z371	ENSG00000168152
	H0Y9F3	ENSG00000168152
Q9UL58		ENSG00000149054
	B4DYW9	ENSG00000149054
	A0A1B0GV37	ENSG00000149054
Q12948	W6CJ52	ENSG00000054598
Q9GZV8		ENSG00000147596
	C9JMM8	ENSG00000147596
Q9UL59		ENSG00000149050
	K7ES42	ENSG00000160633
Q15424		ENSG00000160633
	K7EII0	ENSG00000160633
Q9UPG8		ENSG00000126003
Q9HBT7		ENSG00000141040
	C9JAV4	ENSG00000141040
Q02930		ENSG00000146592
	H9KVC5	ENSG00000146592
	C9JN33	ENSG00000146592
	H0YFV2	ENSG00000146592
Q15406	F1D8S0	ENSG00000148200
Q15406	F1DAM1	ENSG00000148200
Q15406		ENSG00000148200
	C9JDI9	ENSG00000148200
	I3L4L9	ENSG00000124813
Q13950		ENSG00000124813
	I3L0L0	ENSG00000124813
	I3L354	ENSG00000124813
	A0A2R8Y7Z3	ENSG00000124813
	A0A0D9SEN7	ENSG00000124813
Q86UZ6		ENSG00000130584
	A0A494BZW5	ENSG00000130584
O60481		ENSG00000156925
Q9NZR4		ENSG00000100987
Q9GZN2		ENSG00000118707
	H0YKN5	ENSG00000118707
	U3KQB5	ENSG00000118707
	U3KQS0	ENSG00000118707
	U3KQ25	ENSG00000118707
Q9Y5V0		ENSG00000120963
	H0YC70	ENSG00000120963
	E5RHV4	ENSG00000120963
