UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene stable ID
	C9J0U3	ENSG00000144331
P11831	A0A024RD16	ENSG00000112658
P56915		ENSG00000133937
Q9NX63	A4D1N4	ENSG00000106554
	C9JRZ6	ENSG00000106554
	F8WAR4	ENSG00000106554
	A0A286YEX5	ENSG00000106554
Q92826		ENSG00000159184
	I3L3K7	ENSG00000072736
	F8VPH9	ENSG00000072736
Q12968	B5B2S1	ENSG00000072736
	H3BRM3	ENSG00000072736
Q12968		ENSG00000072736
Q12968	B5B2S0	ENSG00000072736
	H3BRS1	ENSG00000072736
	H3BR83	ENSG00000072736
	H3BU30	ENSG00000072736
Q16520		ENSG00000156127
	G3V266	ENSG00000156127
	J3QR26	ENSG00000126351
	J3KTF3	ENSG00000126351
	J3QRA9	ENSG00000126351
P10827		ENSG00000126351
P10827	Q6FH41	ENSG00000126351
	J3QRW5	ENSG00000126351
Q15075		ENSG00000102189
	F8WE79	ENSG00000102189
	F8W119	ENSG00000102189
	F8VUZ7	ENSG00000102189
	E2QRN4	ENSG00000162664
Q5BKZ1		ENSG00000162664
	A0A0A0MRN4	ENSG00000162664
Q96AV8		ENSG00000165891
	F8VSE7	ENSG00000165891
	H0YHW2	ENSG00000165891
	H0YIF4	ENSG00000165891
	F8VXV5	ENSG00000165891
	J3KP65	ENSG00000164458
O15178		ENSG00000164458
	H0YM91	ENSG00000164458
Q9UIS9		ENSG00000141644
	K7EPZ6	ENSG00000141644
	A0A994J7H0	ENSG00000141644
	K7EN65	ENSG00000141644
	A0A0A0MS90	ENSG00000141644
	K7EMA9	ENSG00000141644
	K7EIN3	ENSG00000141644
O60381	A0A024R722	ENSG00000105856
	C9JAW1	ENSG00000105856
	C9JQU7	ENSG00000105856
	C9JPK6	ENSG00000105856
	C9J8V6	ENSG00000105856
	C9J5U3	ENSG00000105856
	H7C4S2	ENSG00000105856
	U3KQE5	ENSG00000105856
	H7C574	ENSG00000105856
P19622		ENSG00000164778
O15522		ENSG00000136327
	A0A2R8Y5F2	ENSG00000150347
	A0A7P0TAD2	ENSG00000150347
Q14865		ENSG00000150347
Q9UKW6	A8K443	ENSG00000135374
Q9UKW6		ENSG00000135374
	A0A669KB78	ENSG00000135374
	A0A087X1W9	ENSG00000135374
O95983		ENSG00000071655
	A0A0A0MTS6	ENSG00000071655
	K7EIE8	ENSG00000071655
	A0A087WVG6	ENSG00000071655
	A0A087X1H1	ENSG00000071655
	A0A087WT34	ENSG00000071655
	A0A087WZ12	ENSG00000071655
O95231		ENSG00000151650
Q9GZR2		ENSG00000148300
	A0A0C4DG31	ENSG00000148300
	A0A0C4DG22	ENSG00000148300
Q03936	V9HVY7	ENSG00000146757
	C9IZS8	ENSG00000146757
Q03936		ENSG00000146757
Q00403		ENSG00000137947
	B1APE1	ENSG00000137947
	B1APE2	ENSG00000137947
Q9Y6R6	A0A024R0P7	ENSG00000128000
	C9JTJ1	ENSG00000128000
	M0R168	ENSG00000128000
	M0R0W9	ENSG00000128000
	J9JID5	ENSG00000130856
	A0A994J512	ENSG00000130856
Q9UL36		ENSG00000130856
	A0A2R8YCW3	ENSG00000130856
A6NNA5		ENSG00000165606
Q5VTD9		ENSG00000165702
	A0A024R8F3	ENSG00000165702
	A0A1B0GTD0	ENSG00000165702
P14859		ENSG00000143190
	Q16075	ENSG00000143190
	A0A0A0MSV5	ENSG00000143190
P14859	A0A024R8Y2	ENSG00000143190
	A0A0A0MT46	ENSG00000143190
	A0A0C4DG88	ENSG00000143190
	M0QYZ8	ENSG00000152439
Q6PK81		ENSG00000152439
	M0QX16	ENSG00000152439
Q6P9A3		ENSG00000121406
	M0R0L6	ENSG00000121406
	M0QXN3	ENSG00000121406
Q9BWM5		ENSG00000083817
	H0Y3T8	ENSG00000121417
	A0A0A0MTK1	ENSG00000121417
Q13398		ENSG00000121417
	F5GY70	ENSG00000121417
	F5H771	ENSG00000121417
Q96SF7		ENSG00000092607
	Q5JT55	ENSG00000092607
P48443	F1D8Q7	ENSG00000143171
	A0A087WZ88	ENSG00000143171
	H0YGU5	ENSG00000165462
O14813		ENSG00000165462
	E7EWD9	ENSG00000119715
O95718		ENSG00000119715
	A0A2R8Y491	ENSG00000119715
	A0A2R8Y509	ENSG00000119715
	A0A7I2V5T5	ENSG00000147601
	E7EWM7	ENSG00000147601
	A0A7I2YQE7	ENSG00000147601
	A0A7I2V3N9	ENSG00000147601
	A0A7I2V5I6	ENSG00000147601
	A0A7I2V5E0	ENSG00000147601
P54274		ENSG00000147601
	E5RFJ5	ENSG00000147601
P13349		ENSG00000111049
	H0YJ43	ENSG00000053254
O00409	A0A024R6I1	ENSG00000053254
O00409		ENSG00000053254
	H0YJ54	ENSG00000053254
	H0YJG3	ENSG00000053254
	H0YJY0	ENSG00000053254
	H0YJ22	ENSG00000053254
	H0YJ94	ENSG00000053254
	G3V3A7	ENSG00000053254
	G3V5C7	ENSG00000053254
	G3V4N5	ENSG00000053254
	A0A669KBB9	ENSG00000106536
	A0A6E1XZL4	ENSG00000106536
	H7C2B2	ENSG00000106536
P78424		ENSG00000106536
Q9Y473		ENSG00000105497
	F5GZI7	ENSG00000105497
	M0R013	ENSG00000105497
	G3V1K8	ENSG00000105497
P51814	A0A024R1C4	ENSG00000147124
	B1AQ29	ENSG00000147124
Q96BA8		ENSG00000157613
	E9PK33	ENSG00000157613
	H0YEU7	ENSG00000157613
	F5H433	ENSG00000165821
Q9Y467		ENSG00000165821
	A0A0B4J2F7	ENSG00000165821
	A0A087X1T9	ENSG00000165821
	H0YFS7	ENSG00000165821
	E7EW59	ENSG00000165821
	F5H1G6	ENSG00000165821
P17535		ENSG00000130522
	U3KPR5	ENSG00000130522
O60806		ENSG00000143178
	H0Y5A7	ENSG00000143178
	H0Y4B1	ENSG00000143178
O00482		ENSG00000116833
O00482	F1D8R9	ENSG00000116833
	E9PQH2	ENSG00000116833
	H0Y7S7	ENSG00000116833
	H0Y328	ENSG00000116833
P37275		ENSG00000148516
	H0YND9	ENSG00000148516
P37275	F6TDF5	ENSG00000148516
	F6U0D0	ENSG00000148516
	H0YMD3	ENSG00000148516
Q8NI51		ENSG00000124092
	F5H2V8	ENSG00000124092
	V9GY73	ENSG00000124092
	V9GZ46	ENSG00000124092
	V9GYX4	ENSG00000124092
P10828	A0A024R2I8	ENSG00000151090
	A0A2R8YF24	ENSG00000151090
P10828		ENSG00000151090
	C9JNQ4	ENSG00000151090
	A0A0C4DG57	ENSG00000151090
	J3KR21	ENSG00000151090
	C9JJM3	ENSG00000151090
	C9JTN1	ENSG00000151090
	C9JHC2	ENSG00000151090
	C9JZS5	ENSG00000151090
	K7EL18	ENSG00000141646
	A0A024R274	ENSG00000141646
Q13485	A0A024R274	ENSG00000141646
	K7ENG1	ENSG00000141646
	K7EL15	ENSG00000141646
		ENSG00000141646
	K7EIJ2	ENSG00000141646
	K7ELK2	ENSG00000141646
	A0A087WUF3	ENSG00000141646
	K7EIU8	ENSG00000141646
	K7ES96	ENSG00000141646
	H0Y3W9	ENSG00000108001
Q9H4W6		ENSG00000108001
P23497		ENSG00000067066
	C9JBL0	ENSG00000067066
	E9PHV6	ENSG00000067066
	H7C1G8	ENSG00000067066
	H7C4B4	ENSG00000067066
	H0Y4R8	ENSG00000067066
Q53GI3		ENSG00000160908
Q8TE12		ENSG00000162761
Q9Y2H8		ENSG00000081386
P50553		ENSG00000139352
P52954		ENSG00000138136
P19484	B1AKB5	ENSG00000112561
P19484	B0QYS7	ENSG00000112561
P19484	A0A024RCY3	ENSG00000112561
P19484	B1AKB1	ENSG00000112561
P19484	B1AKA9	ENSG00000112561
P19484	B1AKB2	ENSG00000112561
P19484	A0A1B0GXL9	ENSG00000112561
P19484	Q709A9	ENSG00000112561
	B0QYS6	ENSG00000112561
	A0A7I2YQR9	ENSG00000112561
	B1AKB4	ENSG00000112561
P54821		ENSG00000116132
	G3V2N3	ENSG00000116132
Q9Y2G1		ENSG00000124920
	A0A6Q8PHM1	ENSG00000124920
	A0A6Q8PFY9	ENSG00000124920
	A0A6Q8PFL7	ENSG00000124920
Q9Y222		ENSG00000135164
	E7EPA0	ENSG00000135164
	C9K0L9	ENSG00000135164
	A0A1D5RMP8	ENSG00000135164
	C9J4F7	ENSG00000135164
	F8VXY9	ENSG00000135164
	J3QLN9	ENSG00000135164
	C9J8Y5	ENSG00000135164
	C9K0K9	ENSG00000135164
	C9JZZ6	ENSG00000135164
	C9JGT5	ENSG00000135164
	C9JED5	ENSG00000135164
	C9JLR5	ENSG00000135164
	J3QLW3	ENSG00000135164
	C9JVQ7	ENSG00000135164
	J3KRC1	ENSG00000135164
	C9JFR2	ENSG00000135164
	H7C388	ENSG00000135164
	J3QKU5	ENSG00000135164
P15172		ENSG00000129152
P12980		ENSG00000104903
	K7ER61	ENSG00000104903
	G3V5S2	ENSG00000140009
Q92731	F1D8N3	ENSG00000140009
Q92731		ENSG00000140009
Q92731	A0A348FV93	ENSG00000140009
Q92731	Q7LCB3	ENSG00000140009
Q5JUK2		ENSG00000165643
	A0A669KBI8	ENSG00000165643
Q96IQ9		ENSG00000133250
	M0R0Q5	ENSG00000133250
	M0R398	ENSG00000133250
	M0R1G8	ENSG00000133250
	M0R2Q9	ENSG00000133250
P31314		ENSG00000107807
	G3V1B7	ENSG00000107807
	A0A087X083	ENSG00000143355
	A0A0C4DGY4	ENSG00000143355
Q9NQ69		ENSG00000143355
	H0YL54	ENSG00000143355
	H0Y330	ENSG00000143355
Q10586		ENSG00000105516
	M0QXW3	ENSG00000105516
	M0QXP1	ENSG00000105516
P98182		ENSG00000010539
	I3L1E4	ENSG00000010539
	A0A590UJ20	ENSG00000162086
	A0A590UJE0	ENSG00000162086
Q96N20		ENSG00000162086
	Q86V93	ENSG00000162086
O95201		ENSG00000122386
	C9JS60	ENSG00000122386
	C9JEY6	ENSG00000122386
	I3L417	ENSG00000122386
O15119	A0A024RBQ4	ENSG00000135111
O15119	A0A024RBL6	ENSG00000135111
	K7EJG9	ENSG00000161914
Q96CK0		ENSG00000161914
	K7EL79	ENSG00000161914
	K7ENS4	ENSG00000161914
	K7EKL4	ENSG00000161914
Q96NX9		ENSG00000126733
	D6RFG7	ENSG00000126733
	D6REJ4	ENSG00000126733
	H0Y912	ENSG00000126733
	A0A1B0GVV4	ENSG00000075407
P17032		ENSG00000075407
Q99607		ENSG00000102034
	B1AL80	ENSG00000102034
Q4VC44		ENSG00000059122
	I3L0R3	ENSG00000059122
	I3L231	ENSG00000059122
	I3L188	ENSG00000059122
	J3KNW1	ENSG00000059122
	I3L4V9	ENSG00000059122
	I3L1A7	ENSG00000059122
	I3L287	ENSG00000059122
P17861	A0A024R1F0	ENSG00000100219
	B1AHH2	ENSG00000100219
P17861		ENSG00000100219
	B1AHH1	ENSG00000100219
Q8NEA6	A0A0S2Z689	ENSG00000107249
Q8NEA6		ENSG00000107249
	F8WEV9	ENSG00000107249
	A0A804HJJ4	ENSG00000107249
	Q1PHJ2	ENSG00000107249
	Q1PHJ8	ENSG00000107249
	A0A2R8YEK9	ENSG00000107249
	H7C4N4	ENSG00000137203
P05549		ENSG00000137203
	A0A6E1XE14	ENSG00000137203
	F8WDC8	ENSG00000137203
	F8WEX2	ENSG00000137203
	C1K3N0	ENSG00000137203
	H7C5E5	ENSG00000137203
	C9JXZ2	ENSG00000137203
	C9J6N8	ENSG00000137203
	M0QYT9	ENSG00000126456
Q14653		ENSG00000126456
	M0QZB7	ENSG00000126456
	M0QX56	ENSG00000126456
	M0QZB8	ENSG00000126456
	M0R3C2	ENSG00000126456
	M0R205	ENSG00000126456
	M0QXC8	ENSG00000126456
	M0R0X9	ENSG00000126456
	M0R0R8	ENSG00000126456
	M0R3E9	ENSG00000126456
	M0QYX3	ENSG00000126456
	M0R3H7	ENSG00000126456
	M0R007	ENSG00000126456
Q8IUX7		ENSG00000106624
	H7C3D7	ENSG00000106624
	C9JLQ8	ENSG00000106624
	H7C1J5	ENSG00000106624
	H7C0W8	ENSG00000106624
	H7C391	ENSG00000106624
	H7C4B5	ENSG00000106624
Q12837		ENSG00000151615
Q99583		ENSG00000070444
	V9GY02	ENSG00000070444
Q99593		ENSG00000089225
Q9Y603		ENSG00000010030
O75820		ENSG00000136870
	A0A087X0K2	ENSG00000136870
P08151		ENSG00000111087
	E9PIB9	ENSG00000111087
	E9PQQ1	ENSG00000111087
Q13886	A0A024R260	ENSG00000119138
	J9JIC7	ENSG00000136451
Q14119		ENSG00000136451
	J3QSH4	ENSG00000136451
	J3QLN5	ENSG00000136451
Q9Y261	B0ZTD4	ENSG00000125798
Q9Y261		ENSG00000125798
	F8VU14	ENSG00000166987
	F8VNX1	ENSG00000166987
	F8VVK7	ENSG00000166987
Q96DN6	A0A024RBA3	ENSG00000166987
	F8VPC4	ENSG00000166987
	F8VZD7	ENSG00000166987
	F8VW40	ENSG00000166987
	H0YHD1	ENSG00000166987
	A0A0C4DGJ6	ENSG00000166987
	H0YIU1	ENSG00000166987
	H0YHN1	ENSG00000166987
Q9Y4A8		ENSG00000050344
	U3KQ19	ENSG00000050344
Q13118		ENSG00000155090
Q9NZC4		ENSG00000135373
	E9PN75	ENSG00000135373
	E9PPS9	ENSG00000135373
	E9PQR6	ENSG00000135373
	E9PQX0	ENSG00000135373
	Q5JWR1	ENSG00000125826
	G3XAG9	ENSG00000125826
	B4DML5	ENSG00000125826
	A6PVJ6	ENSG00000125826
	A6PVJ7	ENSG00000125826
Q9BYM8		ENSG00000125826
	A0A8V8TMQ4	ENSG00000125826
	A0A8V8TLQ1	ENSG00000125826
	A6PVJ5	ENSG00000125826
	A0A8V8TMZ2	ENSG00000125826
	H0Y4S7	ENSG00000125826
Q9HBE1	A0A024R1M5	ENSG00000100105
Q9HBE1	A0A024R1F8	ENSG00000100105
Q9HBE1	A0A024R1H7	ENSG00000100105
Q9HBE1		ENSG00000100105
Q9BXK1		ENSG00000129911
	A0A087WWX5	ENSG00000129911
Q6DD87		ENSG00000142409
	M0R0X7	ENSG00000142409
	K7EKJ5	ENSG00000142409
	K7EJH4	ENSG00000167685
	K7ELZ3	ENSG00000167685
Q8N0Y2	A0A024R4S5	ENSG00000167685
	K7EMV5	ENSG00000167685
Q8N0Y2	A0A024R4P4	ENSG00000167685
	K7EJ91	ENSG00000167685
	K7EK55	ENSG00000167685
	K7ESL2	ENSG00000167685
Q96LU7		ENSG00000166268
	F8VVR8	ENSG00000166268
	H0YHI9	ENSG00000166268
	F5GYH9	ENSG00000166268
	A0A075B6E6	ENSG00000166268
Q9UID6		ENSG00000121864
	J3KR59	ENSG00000121864
	C9IZP0	ENSG00000121864
	J3KR68	ENSG00000121864
	C9J3R1	ENSG00000121864
Q96QR8		ENSG00000146676
P48380		ENSG00000080298
	H0Y7W5	ENSG00000080298
	F6USP3	ENSG00000080298
	F6UGA0	ENSG00000080298
	F6UV76	ENSG00000080298
	H0Y7Z4	ENSG00000080298
	H0Y790	ENSG00000080298
	F6XM74	ENSG00000080298
	A9Z1Z2	ENSG00000080298
Q6N043		ENSG00000137871
	H0YLA6	ENSG00000137871
	H0YN90	ENSG00000137871
Q03701		ENSG00000115816
	C9J9W7	ENSG00000115816
Q9Y2X9		ENSG00000162702
Q9NQX1		ENSG00000138738
	H0Y9S1	ENSG00000138738
P15863		ENSG00000125813
	A0A087WXV5	ENSG00000125813
Q9BYN7		ENSG00000131061
	A0A8V8TML2	ENSG00000131061
	E9PQQ0	ENSG00000131061
	E9PN62	ENSG00000131061
	A0A8V8TNW4	ENSG00000131061
Q14587		ENSG00000090612
	F5H7L3	ENSG00000090612
	F5H6R9	ENSG00000090612
	K7EMS6	ENSG00000090612
	F5H670	ENSG00000090612
	F5H1T2	ENSG00000090612
	F5H848	ENSG00000090612
	F5H467	ENSG00000090612
	A0A075B6T9	ENSG00000090612
	K7EQP6	ENSG00000090612
	K7EIF0	ENSG00000090612
	A0A087WV54	ENSG00000090612
	E7EV44	ENSG00000090612
Q3B8N5		ENSG00000119608
	G3V3G0	ENSG00000119608
	A0A0G2JMC2	ENSG00000119608
P52736		ENSG00000125846
P52736	A0A0A0MTH2	ENSG00000125846
	A0A8V8TM26	ENSG00000125846
	A0A8V8TM58	ENSG00000125846
	Q5JXW1	ENSG00000125846
P52736	Q5JXV9	ENSG00000125846
	Q5JXW0	ENSG00000125846
	A0A0D9SEV2	ENSG00000125846
	A0A8V8TNK8	ENSG00000125846
	G3V447	ENSG00000126804
	G3V2I8	ENSG00000126804
Q9Y2K1		ENSG00000126804
	G3V3N0	ENSG00000126804
O14503	Q6IB83	ENSG00000134107
Q16665	D0VY79	ENSG00000100644
	A8MYV6	ENSG00000100644
Q16665		ENSG00000100644
Q9UJU2		ENSG00000138795
	D6RID7	ENSG00000138795
	D6RAB1	ENSG00000138795
	D6RIV1	ENSG00000138795
Q15554		ENSG00000132604
	J3KTN8	ENSG00000132604
	U3KQ35	ENSG00000132604
	H3BR06	ENSG00000132604
	J3KSZ6	ENSG00000132604
	H3BTA7	ENSG00000132604
	J3KSJ9	ENSG00000132604
	H3BR37	ENSG00000132604
	V9GYM1	ENSG00000132604
P11161		ENSG00000122877
P11161	A0A1B0GUL0	ENSG00000122877
	A0A8I5KVU0	ENSG00000122877
	A0A8I5KYI5	ENSG00000122877
	A0A8I5QL03	ENSG00000122877
	F1T0F2	ENSG00000115297
O43763		ENSG00000115297
Q9H2P0		ENSG00000101126
	A0A669KBJ7	ENSG00000101126
	A0A2R8YCL6	ENSG00000101126
	A0A2R8Y6X0	ENSG00000101126
	E9PEI2	ENSG00000088881
	A0A0A0MSW2	ENSG00000088881
	A0A6I8PR97	ENSG00000088881
Q9BQW3		ENSG00000088881
	A0A6I8PRX3	ENSG00000088881
	A0A6I8PL90	ENSG00000088881
P43699		ENSG00000136352
P43699	A0A7P0P5T6	ENSG00000136352
P32243		ENSG00000165588
P32243	F1T0D1	ENSG00000165588
	A0A5F9ZHY1	ENSG00000165588
P32243	G3V3P9	ENSG00000165588
P32243	G3V3J3	ENSG00000165588
	F1T0C9	ENSG00000165588
Q14209		ENSG00000007968
	B3KUF4	ENSG00000136574
	B6DU75	ENSG00000136574
	R4GND5	ENSG00000136574
	E9PKS4	ENSG00000136574
P43694		ENSG00000136574
P43694	A0A087WZ09	ENSG00000136574
Q5H9K5		ENSG00000166432
	A0A494C0A7	ENSG00000166432
Q96CS4		ENSG00000156853
Q92949	A0A024R8P1	ENSG00000129654
	F8W971	ENSG00000065029
	E7EX64	ENSG00000065029
P36508	A0A024RCU3	ENSG00000065029
P36508	A0A024RCW5	ENSG00000065029
	H7C513	ENSG00000065029
O75593		ENSG00000160973
Q03181	A0A024RCW6	ENSG00000112033
Q03181		ENSG00000112033
Q03181	F1D8S7	ENSG00000112033
Q2M1K9		ENSG00000102935
	A0A7P0Q1F0	ENSG00000102935
	F5H7S1	ENSG00000102935
	A0A087WV99	ENSG00000102935
	B5MCM0	ENSG00000007866
Q99594	A0A1X7SBS4	ENSG00000007866
	A0A7P0SNI2	ENSG00000007866
Q96HZ4		ENSG00000144485
	B9A070	ENSG00000144485
	H7C1R4	ENSG00000144485
	B8ZZP9	ENSG00000144485
	H7C020	ENSG00000144485
	C9JF41	ENSG00000144485
Q14188		ENSG00000114126
	F8WAY9	ENSG00000114126
	H7C5C2	ENSG00000114126
	C9J872	ENSG00000114126
	C9J977	ENSG00000114126
	C9J461	ENSG00000114126
	C9JNB6	ENSG00000114126
	R4GN09	ENSG00000114126
	C9J5D5	ENSG00000114126
	C9JCY5	ENSG00000114126
	C9JTZ9	ENSG00000114126
Q5T7W0		ENSG00000157657
	B1ALC2	ENSG00000157657
	B5MDS3	ENSG00000157657
Q9Y3M9		ENSG00000130684
	H0YM35	ENSG00000106689
P50458		ENSG00000106689
	H7C0H1	ENSG00000106689
	U3KQT5	ENSG00000106689
Q9UL17		ENSG00000073861
P41235	F1D8T0	ENSG00000101076
P41235		ENSG00000101076
	B9VVT8	ENSG00000101076
P41235	F1D8T1	ENSG00000101076
	F8WBS7	ENSG00000101076
P41235	F1D8S2	ENSG00000101076
	A0A804HI58	ENSG00000101076
	A0A804HIR4	ENSG00000101076
	A0A804HJ81	ENSG00000101076
	A0A804HJL7	ENSG00000101076
	A0A804HJJ6	ENSG00000101076
	A0A087WXV4	ENSG00000101076
	A0A804HJ41	ENSG00000101076
	A0A7I2V4X9	ENSG00000106571
P10071		ENSG00000106571
	A0A2R8YGX0	ENSG00000106571
	A0A2R8Y6R3	ENSG00000106571
	A0A2R8Y723	ENSG00000106571
	F8WEV4	ENSG00000106571
	A0A7I2V3B8	ENSG00000106571
	A0A7I2V4V2	ENSG00000106571
P22670		ENSG00000132005
	K7EIZ8	ENSG00000132005
P23760		ENSG00000135903
Q8N1W2		ENSG00000140548
	H0YKZ0	ENSG00000140548
	H0YLZ7	ENSG00000140548
	H0YLC4	ENSG00000140548
Q99581		ENSG00000163497
Q8WYP5		ENSG00000153207
	H7C4S1	ENSG00000153207
	A0A8I5QKS3	ENSG00000165684
Q5SXM2	A0A024R8F4	ENSG00000165684
Q5SXM2	A0A1B0GUB4	ENSG00000165684
Q92570		ENSG00000119508
Q92570	A0A024R168	ENSG00000119508
Q9NQX6	A0A024R4J5	ENSG00000130844
	E7EV14	ENSG00000130844
	E7EWU7	ENSG00000130844
	D6RH27	ENSG00000130844
	E7EPT0	ENSG00000130844
	E7ETJ5	ENSG00000130844
	E7EPG5	ENSG00000130844
	Q71QC5	ENSG00000130844
	Q71QC9	ENSG00000130844
	C9JS61	ENSG00000163516
	B8ZZS4	ENSG00000163516
Q9H8Y5		ENSG00000163516
	F8WD44	ENSG00000163516
	C9J5H7	ENSG00000163516
	C9K022	ENSG00000163516
	C9JQZ3	ENSG00000163516
	E9PSD2	ENSG00000133794
	E9PKN1	ENSG00000133794
	E9PKG7	ENSG00000133794
O00327		ENSG00000133794
	E9PL54	ENSG00000133794
	E9PRB1	ENSG00000133794
O00327	A0A140VKD3	ENSG00000133794
	A0A669KB07	ENSG00000133794
	A0A669KAX2	ENSG00000133794
	A0A669KBF4	ENSG00000133794
	E9PI92	ENSG00000133794
	E9PNI4	ENSG00000133794
	A0A669KAV4	ENSG00000133794
	H0YER9	ENSG00000133794
	A0A0C4DFM2	ENSG00000105732
Q6ZN55		ENSG00000105732
	M0R133	ENSG00000105732
A0PJY2		ENSG00000128610
	C9J0C5	ENSG00000128610
	F5H290	ENSG00000147789
P17097		ENSG00000147789
P17097	E9PPK0	ENSG00000147789
	E9PIH3	ENSG00000147789
	E9PJX9	ENSG00000147789
	E9PJZ3	ENSG00000147789
	E9PQI2	ENSG00000147789
	E9PM16	ENSG00000147789
	H3BQP6	ENSG00000099364
	H3BVB1	ENSG00000099364
	H3BPZ0	ENSG00000099364
Q6PCT2	H3BPZ0	ENSG00000099364
	H3BME1	ENSG00000099364
	H7C112	ENSG00000099364
	H3BPI8	ENSG00000099364
	H3BTJ3	ENSG00000099364
	A0A6Q8PH00	ENSG00000074047
	A0A7I2PJA1	ENSG00000074047
	F2Z2B4	ENSG00000074047
	Q1PSW9	ENSG00000074047
P10070		ENSG00000074047
	H7C1U2	ENSG00000074047
Q9UKY1	A0A024R9F1	ENSG00000165156
	U3KPX4	ENSG00000165156
	U3KPV9	ENSG00000079263
Q13342		ENSG00000079263
Q15072		ENSG00000167635
P19532	A0A024QZ23	ENSG00000068323
P19532		ENSG00000068323
O43670		ENSG00000010244
	J3KTL1	ENSG00000010244
	J3KRB6	ENSG00000010244
	X6R4W8	ENSG00000010244
	J3QRS9	ENSG00000010244
	H0Y3M2	ENSG00000010244
	J3KRW6	ENSG00000010244
	J3QS27	ENSG00000010244
	J3KS31	ENSG00000010244
	A2AB22	ENSG00000112511
	E9PQZ5	ENSG00000112511
	A2AB23	ENSG00000112511
	A0A087WVG4	ENSG00000112511
O43189	A0A1U9X8A3	ENSG00000112511
O43189		ENSG00000112511
	E9PQT8	ENSG00000112511
	A2AB25	ENSG00000112511
Q9UPM6	A0A024R852	ENSG00000106852
Q9UPM6		ENSG00000106852
	H0YMY8	ENSG00000106852
	H0YKH7	ENSG00000106852
	H0YMH3	ENSG00000106852
O15060		ENSG00000166860
Q8N8E2		ENSG00000163795
	C9JT52	ENSG00000163795
	A0A669KBH9	ENSG00000011451
	A0A669KBG4	ENSG00000011451
O95785		ENSG00000011451
	A0A669KAV7	ENSG00000011451
	M0QXA7	ENSG00000011451
	A0A2R8YFV2	ENSG00000011451
	A0A3B3IS05	ENSG00000011451
	M0QXF8	ENSG00000011451
	B9EGQ5	ENSG00000011451
	A0A8Q3SIN3	ENSG00000102145
P15976		ENSG00000102145
	A0A8Q3SIP6	ENSG00000102145
	A0A8Q3SIT6	ENSG00000102145
	B7WNQ9	ENSG00000102145
Q8N2R0		ENSG00000164920
	E5RH04	ENSG00000164920
	E5RGY8	ENSG00000164920
	E5RH47	ENSG00000164920
Q9UH92		ENSG00000108788
	K7EID0	ENSG00000108788
Q9UIH9		ENSG00000163884
Q2QGD7		ENSG00000070476
	H0YAA9	ENSG00000070476
P11473	F1D8P8	ENSG00000111424
	A0A5K1VW50	ENSG00000111424
P11473		ENSG00000111424
	F8VXQ9	ENSG00000111424
	F8VRJ4	ENSG00000111424
	F8VVY8	ENSG00000111424
	F8VPF8	ENSG00000111424
O43823		ENSG00000105127
	A0A7P0T893	ENSG00000105127
	A0A7P0TBC8	ENSG00000105127
	A0A7P0TAA4	ENSG00000105127
	M0QX51	ENSG00000105127
Q00653		ENSG00000077150
P48378		ENSG00000087903
	K7ELD5	ENSG00000087903
	K7ELQ7	ENSG00000087903
	K7EQA0	ENSG00000087903
	K7EJD4	ENSG00000087903
	K7EQU2	ENSG00000087903
	K7EQY9	ENSG00000087903
	K7EIN5	ENSG00000087903
	K7ENC9	ENSG00000087903
	K7ES56	ENSG00000087903
	K7EJE4	ENSG00000087903
	D6RAT2	ENSG00000168214
	A0A7P0T7Z3	ENSG00000168214
Q06330		ENSG00000168214
	D6RIZ8	ENSG00000168214
Q06330	D6R946	ENSG00000168214
	D6REP3	ENSG00000168214
	A0A7P0T821	ENSG00000168214
	D6RF98	ENSG00000168214
	A0A7P0T9Y9	ENSG00000168214
O95125	A0A024R3M3	ENSG00000166261
	E9PM99	ENSG00000166261
	E9PJL4	ENSG00000166261
	A0A1D5RMT9	ENSG00000166261
Q9P2F9		ENSG00000166188
	H3BT69	ENSG00000166188
Q9C0A1	A0A2P1H683	ENSG00000136367
	C9JSX6	ENSG00000136367
	G3V3N5	ENSG00000136367
P78413		ENSG00000113430
	D6RC00	ENSG00000113430
	D6RAS8	ENSG00000113430
Q9ULX6		ENSG00000011243
	V9GZ50	ENSG00000011243
	M0R1L5	ENSG00000011243
	A0A7P0TAJ5	ENSG00000011243
	M0R008	ENSG00000011243
	A0A7P0TAE3	ENSG00000011243
	A0A7P0T847	ENSG00000011243
	A0A7P0T8N3	ENSG00000011243
	A0A7P0T9N5	ENSG00000011243
	A0A7P0TAD3	ENSG00000011243
	A0A7P0TBP0	ENSG00000011243
	M0QYT7	ENSG00000011243
	M0R1Y5	ENSG00000011243
	M0R010	ENSG00000011243
Q13285	F1D8R8	ENSG00000136931
	F1DAM0	ENSG00000136931
	Q5T6F7	ENSG00000136931
	Q5T6F6	ENSG00000136931
Q6P1N0		ENSG00000132024
	K7EJY5	ENSG00000132024
	A0A7P0Z4M5	ENSG00000132024
	K7EMP1	ENSG00000132024
Q96A47		ENSG00000159556
	H0YN25	ENSG00000159556
Q14994		ENSG00000143257
	Q6GZ69	ENSG00000143257
	C0H5Y2	ENSG00000143257
	Q6GZ72	ENSG00000143257
	Q6GZ81	ENSG00000143257
	Q6GZ70	ENSG00000143257
	D6REZ7	ENSG00000143257
